start,outcome,consent_G0,consent_G1,Δconsent,total_G0,total_G1,Δtotal
Entry,Out_SecuredLogin,1,1,0,4,4,0
Entry,Out_AllMedia,1,1,0,4,4,0
Entry,Out_Payments,1,1,0,4,4,0
Entry,Out_Personalized,1,1,0,4,4,0
Entry,Out_AllContent,1,1,0,4,4,0
Entry,ConsentSaved,1,1,0,3,3,0
Entry,OutcomeTelemetry,1,1,0,4,4,0
BannerToast,Out_SecuredLogin,1,1,0,3,3,0
BannerToast,Out_AllMedia,1,1,0,3,3,0
BannerToast,Out_Payments,1,1,0,3,3,0
BannerToast,Out_Personalized,1,1,0,3,3,0
BannerToast,Out_AllContent,1,1,0,3,3,0
BannerToast,ConsentSaved,1,1,0,2,2,0
BannerToast,OutcomeTelemetry,1,1,0,3,3,0
Home,Out_SecuredLogin,0,0,0,2,2,0
Home,Out_AllMedia,0,0,0,3,3,0
Home,Out_Payments,0,0,0,2,2,0
Home,Out_Personalized,0,0,0,1,1,0
Home,Out_AllContent,0,0,0,2,2,0
Home,ConsentSaved,1,1,0,4,2,-2
Home,OutcomeTelemetry,0,0,0,2,2,0
Discover,Out_SecuredLogin,1,1,0,5,4,-1
Discover,Out_AllMedia,1,1,0,5,4,-1
Discover,Out_Payments,1,1,0,5,4,-1
Discover,Out_Personalized,0,0,0,1,1,0
Discover,Out_AllContent,0,0,0,2,2,0
Discover,ConsentSaved,1,1,0,4,2,-2
Discover,OutcomeTelemetry,0,0,0,2,2,0
SearchBooks,Out_SecuredLogin,1,1,0,5,4,-1
SearchBooks,Out_AllMedia,0,0,0,2,2,0
SearchBooks,Out_Payments,1,1,0,5,4,-1
SearchBooks,Out_Personalized,1,1,0,5,4,-1
SearchBooks,Out_AllContent,0,0,0,2,2,0
SearchBooks,ConsentSaved,1,1,0,4,2,-2
SearchBooks,OutcomeTelemetry,0,0,0,2,2,0
Audiobooks,Out_SecuredLogin,1,1,0,5,4,-1
Audiobooks,Out_AllMedia,0,0,0,2,2,0
Audiobooks,Out_Payments,1,1,0,5,4,-1
Audiobooks,Out_Personalized,1,1,0,5,4,-1
Audiobooks,Out_AllContent,0,0,0,2,2,0
Audiobooks,ConsentSaved,1,1,0,4,2,-2
Audiobooks,OutcomeTelemetry,0,0,0,2,2,0
DigitalMag,Out_SecuredLogin,1,1,0,5,4,-1
DigitalMag,Out_AllMedia,0,0,0,2,2,0
DigitalMag,Out_Payments,1,1,0,5,4,-1
DigitalMag,Out_Personalized,1,1,0,5,4,-1
DigitalMag,Out_AllContent,0,0,0,2,2,0
DigitalMag,ConsentSaved,1,1,0,4,2,-2
DigitalMag,OutcomeTelemetry,0,0,0,2,2,0
Membership,Out_SecuredLogin,1,1,0,5,4,-1
Membership,Out_AllMedia,1,1,0,5,4,-1
Membership,Out_Payments,0,0,0,1,1,0
Membership,Out_Personalized,1,1,0,5,4,-1
Membership,Out_AllContent,0,0,0,2,2,0
Membership,ConsentSaved,1,1,0,4,2,-2
Membership,OutcomeTelemetry,0,0,0,2,2,0
ContactUs,Out_SecuredLogin,0,0,0,1,1,0
ContactUs,Out_AllMedia,1,1,0,5,4,-1
ContactUs,Out_Payments,1,1,0,5,4,-1
ContactUs,Out_Personalized,1,1,0,5,4,-1
ContactUs,Out_AllContent,0,0,0,2,2,0
ContactUs,ConsentSaved,1,1,0,4,2,-2
ContactUs,OutcomeTelemetry,0,0,0,2,2,0
Login,Out_SecuredLogin,0,0,0,1,1,0
Login,Out_AllMedia,1,1,0,5,4,-1
Login,Out_Payments,1,1,0,5,4,-1
Login,Out_Personalized,1,1,0,5,4,-1
Login,Out_AllContent,1,1,0,5,4,-1
Login,ConsentSaved,1,1,0,4,2,-2
Login,OutcomeTelemetry,1,1,0,5,5,0
Manage,Out_SecuredLogin,1,1,0,4,3,-1
Manage,Out_AllMedia,1,1,0,4,3,-1
Manage,Out_Payments,1,1,0,4,3,-1
Manage,Out_Personalized,1,1,0,4,3,-1
Manage,Out_AllContent,1,1,0,4,3,-1
Manage,ConsentSaved,1,1,0,3,2,-1
Manage,OutcomeTelemetry,1,1,0,4,4,0
LetMeChoose,Out_SecuredLogin,1,1,0,4,4,0
LetMeChoose,Out_AllMedia,1,1,0,4,4,0
LetMeChoose,Out_Payments,1,1,0,4,4,0
LetMeChoose,Out_Personalized,1,1,0,4,4,0
LetMeChoose,Out_AllContent,1,1,0,4,4,0
LetMeChoose,ConsentSaved,1,1,0,3,3,0
LetMeChoose,OutcomeTelemetry,1,1,0,4,4,0
Modal,Out_SecuredLogin,1,1,0,3,3,0
Modal,Out_AllMedia,1,1,0,3,3,0
Modal,Out_Payments,1,1,0,3,3,0
Modal,Out_Personalized,1,1,0,3,3,0
Modal,Out_AllContent,1,1,0,3,3,0
Modal,ConsentSaved,1,1,0,2,2,0
Modal,OutcomeTelemetry,1,1,0,3,3,0
